baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_114920A	1052.40133229362	-4.08425064690709	0.413869447387558	-9.86845168854054	5.70382050102981e-23	2.08075371877568e-19	92	110	1963	2567	120.529798065259	113.808472338071	1267.74771383878	2707.51934493236	100	UP_pEhEx_DOWN_CDC5
EHI_083270A	2098.48498208003	-2.7757523511837	0.306979250735736	-9.04214973660621	1.53620468308945e-19	1.86802489463677e-16	353	586	5365	3660	462.467594750395	606.288770819179	3464.83264632963	3860.3509164209	100	UP_pEhEx_DOWN_CDC5
EHI_083410A	2098.48498208003	-2.7757523511837	0.306979250735736	-9.04214973660621	1.53620468308945e-19	1.86802489463677e-16	353	586	5365	3660	462.467594750395	606.288770819179	3464.83264632963	3860.3509164209	100	UP_pEhEx_DOWN_CDC5
EHI_195110A	454.737819247724	12.5476455123944	1.51048058133396	8.30705516340574	9.81063462419278e-17	8.94729877726381e-14	958	545	0	0	1255.08202767954	563.869249311353	0	0	100	DOWN_pEhEx_UP_CDC5
EHI_049000A	3114.13934786433	-2.48064195802321	0.321096491212107	-7.72553430484102	1.11385138572708e-14	8.12665971026474e-12	660	993	6747	5885	864.67029046816	1027.38011847004	4357.35803630681	6207.14894621229	100	UP_pEhEx_DOWN_CDC5
EHI_188960A	3609.38156373391	-2.44662170395297	0.328632742013583	-7.44485071378508	9.70541068159887e-14	5.90088969441211e-11	798	1152	7493	6979	1045.46498756605	1191.88509212235	4839.14091685889	7361.03525838837	100	UP_pEhEx_DOWN_CDC5
EHI_152800A	529.478908078408	-3.89896563355983	0.55454383174793	-7.03094220932949	2.05143464688706e-12	1.06909051312057e-09	72	38	755	1419	94.327668051072	39.3156540804246	487.595274553378	1496.67703562876	100	UP_pEhEx_DOWN_CDC5
EHI_155680A	285.02403699027	-2.98239012182007	0.425526228998409	-7.00871043564091	2.40524657045417e-12	1.0967924361271e-09	47	64	550	623	61.5750055333387	66.2158384512415	355.201855634911	657.10344834159	100	UP_pEhEx_DOWN_CDC5
EHI_090020A	9271.08336551679	-2.6757803696364	0.388841917955235	-6.8814092464806	5.9263325240075e-12	2.34043670430084e-09	1723	2668	16174	20499	2257.31350072218	2760.37276543613	10445.5178418892	21621.1293540197	100	UP_pEhEx_DOWN_CDC5
EHI_094020A	146.532054023667	-10.4212470340608	1.51689878422552	-6.87010045919546	6.41567079029836e-12	2.34043670430084e-09	0	0	594	192	0	0	383.618004085704	202.510212008965	100	UP_pEhEx_DOWN_CDC5
EHI_117850A	3724.40672134369	-2.50914032178576	0.372939244891887	-6.7280136272951	1.71994817811316e-11	5.70397359432438e-09	716	1244	7024	7714	938.036254507883	1287.07035989601	4536.25060723567	8136.26966373519	100	UP_pEhEx_DOWN_CDC5
EHI_103900A	173.626800157159	2.56033752881088	0.382045638809089	6.70165359508343	2.06074091709064e-11	6.26465238795553e-09	233	279	79	47	305.254814665275	288.659670748381	51.0199029002873	49.5728123146946	100	DOWN_pEhEx_UP_CDC5
EHI_022010A	2332.5100172637	-1.88258797751193	0.283718530860647	-6.63540718260872	3.2360795164217e-11	9.08093698146643e-09	743	983	5923	3332	973.409130027035	1017.03389371204	3825.20107441014	3514.39597090558	100	UP_pEhEx_DOWN_CDC5
EHI_134810A	531.23029586688	-2.15855604834639	0.328246135974607	-6.57602881428396	4.83178954906924e-11	1.25902630535747e-08	149	187	1181	923	195.205868605691	193.474402974721	762.71525728151	973.525654605598	100	UP_pEhEx_DOWN_CDC5
EHI_126870A	32107.2624077001	-2.14040049823761	0.32903917739112	-6.5050019733467	7.76923601718186e-11	1.57456516614886e-08	7469	13491	68859	57090	9785.18545379801	13958.0918210265	44470.6265039352	60215.1458520407	100	UP_pEhEx_DOWN_CDC5
EHI_158570A	4226.61362519905	-3.5772045147795	0.549417480684052	-6.5109040766699	7.46998367029943e-11	1.57456516614886e-08	439	707	4325	12142	575.136753811397	731.478090391058	2793.1782284018	12806.661428192	100	UP_pEhEx_DOWN_CDC5
EHI_178340A	1719.10297995868	-3.56895214433231	0.547484209994837	-6.51882205765526	7.08616555424918e-11	1.57456516614886e-08	243	209	1876	4864	318.355879672368	216.236097442335	1211.5612384929	5130.25870422712	100	UP_pEhEx_DOWN_CDC5
EHI_197480A	11789.9462190925	-2.31103092524263	0.354224286375255	-6.52420236029325	6.8364359772336e-11	1.57456516614886e-08	2603	4348	22670	23333	3410.20722134639	4498.53852478122	14640.7746677153	24610.264462527	100	UP_pEhEx_DOWN_CDC5
EHI_000690A	108.285972784421	-9.97789656987514	1.5466168792926	-6.45143390290612	1.10796772193714e-10	2.1272980261193e-08	0	0	184	298	0	0	118.83116624877	314.312724888915	100	UP_pEhEx_DOWN_CDC5
EHI_186720A	8178.99046623991	-2.05616050809623	0.322381327901075	-6.37803845986755	1.79370475306377e-10	3.27171746958831e-08	2057	3524	17410	14346	2694.8890719591	3646.00960472148	11243.7532847342	15131.3099035449	100	UP_pEhEx_DOWN_CDC5
EHI_027610A	491.370176598069	-2.02983561970481	0.320425600112298	-6.33481101071022	2.37632369152959e-10	4.12801372699998e-08	153	180	1143	797	200.446294608528	186.232045644117	738.174038164916	840.628327974715	100	UP_pEhEx_DOWN_CDC5
EHI_172280A	86.5322540888874	-4.05474563908616	0.662995425224283	-6.11579731144372	9.60753773355522e-10	1.5931044387277e-07	7	10	135	227	9.17074550496533	10.3462247580065	87.1859100194782	239.426136073099	100	UP_pEhEx_DOWN_CDC5
EHI_135060A	1014.95046548116	-2.57812753955461	0.422278919043782	-6.10527171328511	1.02625942476431e-09	1.62773668762617e-07	279	210	1817	2184	365.519713697904	217.270719918136	1173.45776670661	2303.55366160198	100	UP_pEhEx_DOWN_CDC5
EHI_035060A	66.3445679261982	-9.27716407268559	1.52663517032	-6.07687039644254	1.22550731044325e-09	1.83251521826453e-07	0	0	228	112	0	0	147.247314699563	118.13095700523	100	UP_pEhEx_DOWN_CDC5
EHI_118270A	21710.5547018028	-3.06307226646308	0.504379839771083	-6.07294745930623	1.2558355388326e-09	1.83251521826453e-07	3612	4396	25137	58145	4732.10468056211	4548.20040361965	16234.0164456268	61327.8972774025	100	UP_pEhEx_DOWN_CDC5
EHI_170060A	386.608755923465	-2.08582455509074	0.344523325305765	-6.05423320246771	1.41088096378721e-09	1.97957452149836e-07	116	138	839	673	151.972354082283	142.777901660489	541.844285232165	709.840482718925	100	UP_pEhEx_DOWN_CDC5
EHI_028990A	276.451657211835	-2.79683200024519	0.469556766299965	-5.95632349690922	2.57975442536219e-09	3.48553486804491e-07	58	61	450	641	75.9861770411413	63.1119710238395	290.619700064927	676.08878071743	100	UP_pEhEx_DOWN_CDC5
EHI_099860A	65.0555008083992	-4.14859238737723	0.69921129974567	-5.93324562816166	2.97004001432611e-09	3.8695378472363e-07	5	7	117	162	6.55053250354667	7.24235733060453	75.5611220168811	170.867991382564	100	UP_pEhEx_DOWN_CDC5
EHI_193940A	59.3480356750672	-6.10304892655689	1.03976062777082	-5.86966727105394	4.36670594689767e-09	5.493014929063e-07	0	3	108	156	0	3.10386742740194	69.7487280155826	164.539547257284	100	UP_pEhEx_DOWN_CDC5
EHI_103510A	1700.9863014791	-2.48695604703056	0.428182521021932	-5.808168070698	6.31600973162559e-09	7.68026783365672e-07	326	582	2698	3823	427.094719231243	602.150280915977	1742.42655727816	4032.27364849101	100	UP_pEhEx_DOWN_CDC5
EHI_103310A	1610.80211732978	-2.46813961115961	0.426944902625356	-5.78093237788437	7.42877487139456e-09	8.3548361976677e-07	237	652	3240	3191	310.495240668112	674.573854222022	2092.46184046748	3365.6775339615	100	UP_pEhEx_DOWN_CDC5
EHI_105140A	6099.03054208254	-1.97124545589515	0.341226487951615	-5.7769414904703	7.60707238048125e-09	8.3548361976677e-07	1784	2532	11325	11496	2337.22999726545	2619.66410872724	7313.92911830067	12125.2989440368	100	UP_pEhEx_DOWN_CDC5
EHI_167270A	6099.03054208254	-1.97124545589515	0.341226487951615	-5.7769414904703	7.60707238048125e-09	8.3548361976677e-07	1784	2532	11325	11496	2337.22999726545	2619.66410872724	7313.92911830067	12125.2989440368	100	UP_pEhEx_DOWN_CDC5
EHI_177520A	1203.3038319744	-2.17857243645845	0.37737212037871	-5.77300844130232	7.78685391229994e-09	8.3548361976677e-07	328	426	2107	2448	429.714932232661	440.749174691076	1360.74601785956	2582.00520311431	100	UP_pEhEx_DOWN_CDC5
EHI_057550A	503.445419946708	2.07776505488516	0.361333419385357	5.75027092268278	8.91005542400127e-09	9.28682348193047e-07	738	640	341	156	966.858597523488	662.158384512415	220.225150493645	164.539547257284	100	DOWN_pEhEx_UP_CDC5
EHI_095830A	168.09047973719	-2.44453377561619	0.42609443043677	-5.73707047311181	9.63281821423577e-09	9.76125579042558e-07	31	61	384	304	40.6133015219893	63.1119710238395	247.995477388738	320.641169014195	100	UP_pEhEx_DOWN_CDC5
