baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1.1	EhMyb10_2.1	pEhEx_1.1	pEhEx_2.1	Certeza	DE
EHI_035060A	73.6700707312914	-9.57118031351798	1.53852884597904	-6.22099503596072	4.94011796155903e-10	2.27344228590946e-06	0	0	228	112	0	0	162.900769906163	131.779513019003	100	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	318.671421468041	-2.91918383912351	0.497389546689486	-5.86900922738114	4.38407040306801e-09	1.00877459974595e-05	74	67	550	623	78.537274763535	70.162486394859	392.962383545567	733.023541168204	100	UP_pEhEx_DOWN_EhMyb10
EHI_155900A	59.6518366519139	-9.25941382908657	1.61523044650719	-5.73256518852112	9.89229954006555e-09	1.51747874944606e-05	0	0	82	153	0	0	58.5871190013392	180.020227606317	100	UP_pEhEx_DOWN_EhMyb10
EHI_049990A	33.5248680689975	-8.42988672580578	1.58264625728214	-5.32645035933825	1.00150634234202e-07	0.00011522330468645	0	0	79	66	0	0	56.4436878183633	77.6557844576268	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	32.0541145754819	-8.36596271140048	1.58289544657453	-5.28522760584401	1.25548559954142e-07	0.000115554894581792	0	0	79	61	0	0	56.4436878183633	71.7727704835641	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	98.5380000087995	-3.5660304457613	0.679893593675765	-5.24498315461684	1.56296606749555e-07	0.000119879497376908	17	12	135	227	18.0423469051364	12.5664154737061	96.454403233912	267.088834422444	99.99	UP_pEhEx_DOWN_EhMyb10
EHI_169350A	1447.7148095335	-3.79881172665042	0.734504132879749	-5.17194057405304	2.31675270518163e-07	0.000152309942132084	119	250	1248	3834	126.296428335955	261.800322368877	891.667372117942	4511.09511531123	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_092930A	401.268679051661	-2.22787855856719	0.43420766868015	-5.13090559947782	2.8835150399929e-07	0.000165874202675591	112	156	814	630	118.867226669134	163.363401158179	581.58432764744	741.259760731892	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_178340A	1941.52157600259	-3.32900941601702	0.659123794476756	-5.05065883512785	4.4028882715154e-07	0.000202620918255139	301	366	1876	4864	319.455671673298	383.275671948036	1340.35896642088	5722.99599396813	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_179390A	172.797858895709	-2.7424220525755	0.542259200277908	-5.05740068802892	4.25009632612172e-07	0.000202620918255139	52	33	300	329	55.1883552392408	34.5576425526917	214.343118297582	387.102319493321	99.98	UP_pEhEx_DOWN_EhMyb10
EHI_188960A	4184.09358543373	-2.09664619635416	0.427399064291785	-4.90559379166722	9.31451172610609e-07	0.000389685299668547	1658	1348	7493	6979	1759.65948051272	1411.62733821298	5353.57661801261	8211.51090499662	99.96	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	1010.242277035	-2.80846834043385	0.580332106920915	-4.83941575339475	1.30221377266311e-06	0.000499398981816305	288	190	1320	2204	305.658582863488	198.968245000346	943.109720509362	2593.23255976681	99.95	UP_pEhEx_DOWN_EhMyb10
EHI_035670A	162.782751756969	-2.42088394042349	0.504888793808934	-4.79488546806532	1.62767798341104e-06	0.000576198006127507	51	46	284	294	54.1270407154093	48.1712593158733	202.911485321711	345.921221674883	99.94	UP_pEhEx_DOWN_EhMyb10
EHI_089770A	19.4048569822569	-7.6429972501488	1.6294534689753	-4.6905280793045	2.72500827767361e-06	0.000895749149560996	0	0	51	35	0	0	36.438330110589	41.1810978184384	99.91	UP_pEhEx_DOWN_EhMyb10
EHI_099860A	77.7738597528455	-2.8881425275262	0.634645791027147	-4.55079442479538	5.34437452815233e-06	0.00163965410523713	17	18	117	162	18.0423469051364	18.8496232105591	83.5938161360571	190.609652759629	99.84	UP_pEhEx_DOWN_EhMyb10
EHI_083140A	42.7105161589091	-6.31248062822927	1.39871536166426	-4.51305590918681	6.39001684606807e-06	0.00183792859535033	2	0	27	127	2.12262904766311	0	19.2908806467824	149.428554941191	99.82	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	630.68598940603	-2.8151572176496	0.628433858583755	-4.47963962984723	7.47691660469476e-06	0.00202404530675325	191	106	755	1419	202.711074051827	111.003336684404	539.430181048915	1669.59936583898	99.8	UP_pEhEx_DOWN_EhMyb10
EHI_194430A	57.1812082081803	-2.99940326760655	0.672146946506111	-4.46242192008422	8.10384614224734e-06	0.0020718833303679	14	10	92	117	14.8584033336418	10.4720128947551	65.7318896112586	137.662526993066	99.79	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	541.290059918845	-1.92537978736806	0.436492648077525	-4.41102455184101	1.02882650512013e-05	0.0024919260929278	198	230	950	880	210.140275718648	240.856296579367	678.753207942344	1035.41045943502	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_092170A	97.133177286056	-2.27570527954371	0.52906000958937	-4.30141238856816	1.69712875150715e-05	0.00388837335795346	40	23	230	134	42.4525809532622	24.0856296579367	164.329724028146	157.664774504879	99.61	UP_pEhEx_DOWN_EhMyb10
EHI_187780A	60.2964956978325	-2.72232917844623	0.634347355753377	-4.2915433535828	1.77435550884447e-05	0.00388837335795346	14	16	99	118	14.8584033336418	16.7552206316081	70.7332290382022	138.839129787878	99.61	UP_pEhEx_DOWN_EhMyb10
EHI_183200A	15.2335260497604	-7.28512689525212	1.70358812399321	-4.27634285109702	1.89988558655433e-05	0.00397421521332865	0	0	26	36	0	0	18.5764035857905	42.357700613251	99.6	UP_pEhEx_DOWN_EhMyb10
