pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_069110A	32960.9576340506	42560.0365492198	-2.53042114506766	1	-0.368741231184784	42446.553729893	41030.1525696899	43929.5845201591	33450.578760667	32247.5097433552	31135.2902838404	43126.3770071212	41725.0581766683	42685.5188198165	33752.8683407913	33158.7364534487	31962.3420121733	100	DOWN_pEhEx_UP_CDC5
EHI_069490A	8132.85922113382	12544.9863147709	-2.57852776274514	1	-0.625276350584194	12897.6965837318	11848.0784471045	12798.3461897063	8177.88263242432	8004.62199193703	7709.39079149435	13104.2658712185	12048.7429737798	12435.9028911948	8251.78535096765	8230.81078670925	7914.1765802367	100	DOWN_pEhEx_UP_CDC5
EHI_117850A	6223.56207876545	1375.80576934717	2.43270071760672	1	2.17746373798406	1012.72386046209	1453.14909496074	1656.25274738509	5039.16159847257	8597.13148614994	4732.86874563501	1028.94362845851	1477.76029893198	1609.34842865258	5084.70000468907	8840.06298389079	4858.58870007788	100	UP_pEhEx_DOWN_CDC5
EHI_119590A	87646.4706945113	200514.068642995	-2.36975428846417	1	-1.19393556033511	186822.171923827	160985.496987728	250451.842423634	94762.5386078839	95984.8596596911	67651.0019752889	189814.312628214	163712.021689506	243359.161030213	95618.8983202895	98697.1301135208	69448.026432008	100	DOWN_pEhEx_UP_CDC5
EHI_146390A	31581.9745331368	57761.0278276386	-2.13599032572827	1	-0.870995041871144	62457.8085811552	45172.6593804563	64727.476845547	31287.8334730232	34130.5655378089	27518.7036787029	63458.1317731939	45937.7243953203	62894.4243663843	31570.5785373531	35095.0022709448	28249.6874348031	100	DOWN_pEhEx_UP_CDC5
EHI_158270A	3311.77963559321	7993.12462995365	-2.11452199314935	1	-1.27115290440281	6702.52303795143	7294.94967442722	9893.73098404879	3489.14631585573	3711.98954209498	2563.07080051961	6809.87053208141	7418.50031009142	9613.54505695396	3520.67738688319	3816.88024668781	2631.15406282692	100	DOWN_pEhEx_UP_CDC5
EHI_160980A	13465.0743883291	4158.36218920689	3.01310252235011	1	1.69513487400332	2589.61179748743	6575.01843667628	3414.95561852918	11261.8566413057	14091.6452309354	14137.3944495342	2631.08697566372	6686.37598451556	3318.245640513	11363.6289287114	14489.836707604	14512.9283343002	100	UP_pEhEx_DOWN_CDC5
EHI_163670A	5221.65900779127	1533.42460729206	2.10031832868736	1	1.76775101133037	1783.79944077658	1528.37013662285	1283.74999944462	3269.80574096047	6173.14323502273	5858.0422931386	1812.36874205516	1554.25531888421	1247.3947878129	3299.3546528521	6347.57943322079	6013.6504136674	100	UP_pEhEx_DOWN_CDC5
EHI_182590A	25898.9074302677	64099.9140252008	-2.53256240876974	1	-1.30743118406245	59777.1654414145	53135.3079302218	78434.4467076544	22734.2884251888	33705.4926546189	19967.6890779955	60734.5554988592	54035.2320371701	76213.2191240071	22939.7359467891	34657.9179869371	20498.0940176064	100	DOWN_pEhEx_UP_CDC5
EHI_111980A	29289.5754092284	43468.6800322795	-2.40684794298779	1	-0.569589007863127	45034.4402583801	39061.0543219836	45884.8908833654	28482.4596838666	30441.4387862761	27167.5358336154	45755.7110819058	39722.6103719332	44585.4518029488	28739.8528620338	31301.6308549504	27889.1914617114	100	DOWN_pEhEx_UP_CDC5
EHI_023400A	701.222472323429	2884.32495581501	-2.31921502179365	1	-2.04028957513607	2825.80978749119	3460.82942842354	2386.3191459952	944.023598813725	373.864924735959	735.274285728046	2871.06790862819	3519.44363344074	2318.73968144913	952.554646941608	384.429328254178	754.805494952894	100	DOWN_pEhEx_UP_CDC5
EHI_153070A	108563.594983141	250359.983003064	-2.44917378489224	0.999999999999999	-1.20546358327617	246097.352723473	194940.564636637	305727.901458738	118521.198937796	116887.464056763	84595.3338986551	250038.843707883	198242.168040706	297069.827406888	119592.263319644	120190.385124817	86842.4533721512	100	DOWN_pEhEx_UP_CDC5
EHI_164870A	36559.5266038229	58622.993971617	-2.62110533763064	0.999999999999999	-0.681219261113337	63909.3427287287	52012.7353813719	59367.4856544919	34355.4043870501	37634.438814236	35387.7623948085	64932.9136668033	52893.6470813566	57686.2256693345	34665.8707870925	38697.885453677	36327.7732244377	100	DOWN_pEhEx_UP_CDC5
EHI_023230A	102667.149940586	170021.766781658	-2.16924181995346	0.999999999999998	-0.72774481579882	194916.21105676	141464.336918893	171564.252617662	106300.53515158	94769.3707217955	100314.731435811	198037.98575321	143860.242241093	166705.631612754	107261.162600446	97447.2947719851	102979.407796779	100	DOWN_pEhEx_UP_CDC5
EHI_160990A	21337.2052216568	30715.6902052431	-2.1636974873672	0.999999999999997	-0.525604579905509	33246.1544494337	29356.4441014897	29359.2620990737	21864.3378019322	18841.5118875193	21867.8192130425	33778.6242894323	29853.6383922596	28527.8212520048	22061.9236655769	19373.9216465082	22448.6976153358	100	DOWN_pEhEx_UP_CDC5
EHI_044830A	24180.0205113447	71782.558470799	-2.29698251124372	0.999999999999997	-1.56981787615177	59128.772396364	58129.0472315463	96862.9476260641	25682.1513118418	29434.6617790722	16324.0930413609	60075.7778019093	59113.5476128427	94119.8333423319	25914.2383795213	30266.4050742637	16757.712552862	100	DOWN_pEhEx_UP_CDC5
EHI_119540A	7670.35141040585	2337.11314190681	2.1460143420341	0.999999999999997	1.71456509697401	2240.47416436503	1800.2486226437	2928.6340079654	6084.408619947	10514.732231465	6029.02935132448	2276.3575601916	1830.73846446687	2845.69643507544	6139.39282037557	10811.8498983809	6189.17942860737	100	UP_pEhEx_DOWN_CDC5
EHI_182990A	8824.93196801892	5423.63572951743	2.21835355353728	0.999999999999996	0.702324871349075	5306.76668672158	5600.46471810887	5349.07489537229	9325.70501169935	7860.40857679933	8712.37775937595	5391.75977104616	5695.31677423242	5197.59154585774	9409.9804878434	8082.52229362374	8943.80605241872	100	UP_pEhEx_DOWN_CDC5
EHI_188730A	8824.93196801892	5423.63572951743	2.21835355353728	0.999999999999996	0.702324871349075	5306.76668672158	5600.46471810887	5349.07489537229	9325.70501169935	7860.40857679933	8712.37775937595	5391.75977104616	5695.31677423242	5197.59154585774	9409.9804878434	8082.52229362374	8943.80605241872	100	UP_pEhEx_DOWN_CDC5
EHI_130260A	20437.940974402	8814.37476547918	2.58138662154572	0.999999999999993	1.21331971604749	5452.28651434927	12201.4734458146	8910.81200704564	18112.3106053599	23569.925414857	18441.4053381148	5539.61024173969	12408.1232333457	8658.46189490016	18275.9897693932	24235.9472492207	18931.2673570242	100	UP_pEhEx_DOWN_CDC5
EHI_044550A	65080.2238274242	169754.746890116	-3.22279804509585	0.999999999999991	-1.38316079951315	164571.713651998	141997.61030628	200309.997197825	67907.3708566685	70664.0686065868	53136.159629586	167207.491397958	144402.547392774	194637.309880804	68521.0430675584	72660.8425364395	54547.6239923071	100	DOWN_pEhEx_UP_CDC5
EHI_048990A	56323.3583801393	136214.351694408	-3.21599916980245	0.999999999999991	-1.27407345039654	137014.581455955	113453.483076247	156284.624410294	55274.225118716	62895.7790582765	47669.0605535809	139209.004644847	115374.983645542	151858.715473446	55773.7328379211	64673.0423039091	48935.3014833885	100	DOWN_pEhEx_UP_CDC5
EHI_147570A	3210.99494746839	1125.07770829825	1.99409152635915	0.999999999999991	1.51299574419098	1065.06580469675	1116.95368377734	1187.24091658214	2553.30640150568	3963.37319745542	2930.06662549578	1082.12388037517	1135.87092704797	1153.61879794623	2576.38037955438	4075.3673188103	3007.89845698522	100	UP_pEhEx_DOWN_CDC5
EHI_099790A	90235.6658959703	154111.809380826	-2.99847667777259	0.999999999999983	-0.772207737358955	166105.732497562	135132.550029682	159462.221678005	87703.0059444199	90810.5324009956	86537.3949034827	168766.079063067	137421.217285827	154946.324642853	88495.5693566185	93376.5904730813	88836.1016561058	100	DOWN_pEhEx_UP_CDC5
